Customer ID,Recency,Frequency,Monetary,Cluster
12346.0,326,12,207.4,0
12347.0,2,8,644.16,1
12348.0,75,5,193.1,1
12349.0,19,4,1480.44,1
12350.0,310,1,65.3,0
12351.0,375,1,49.46,0
12352.0,36,10,1408.71,1
12353.0,204,2,63.08,0
12354.0,232,1,261.22,0
12355.0,214,2,107.43,0
12356.0,23,6,450.25,1
12357.0,33,3,1834.31,1
12358.0,2,5,413.34,1
12359.0,58,10,2691.55,1
12360.0,52,8,696.13,1
12361.0,287,4,112.25,0
12362.0,3,11,1178.29,1
12363.0,110,2,53.17,1
12364.0,8,4,162.37,1
12365.0,291,2,377.31,0
12366.0,634,1,5.07,3
12367.0,4,1,35.2,1
12368.0,628,1,79.05,3
12369.0,413,3,292.85,0
12370.0,51,7,692.01,1
12371.0,45,5,665.9300000000001,1
12372.0,72,3,156.07,1
12373.0,311,3,236.0,0
12374.0,25,4,288.72,1
12375.0,11,2,117.52000000000001,1
12376.0,390,2,104.4,0
12377.0,315,4,416.52,0
12378.0,130,2,1017.41,1
12379.0,82,4,235.55,1
12380.0,22,11,2740.82,1
12381.0,5,5,407.44,1
12383.0,185,5,305.61,0
12384.0,29,2,212.74,1
12385.0,379,1,239.25,0
12386.0,338,2,45.72,0
12387.0,415,1,24.86,0
12388.0,16,8,412.41,1
12389.0,403,3,130.06,0
12390.0,80,1,127.9,1
12391.0,22,6,1054.25,1
12392.0,591,1,35.25,3
12393.0,72,6,265.35,1
12394.0,64,2,91.00999999999999,1
12395.0,19,15,909.79,1
12396.0,674,1,149.46,3
12397.0,36,2,437.0,1
12398.0,46,1,169.38,1
12399.0,119,7,224.56,1
12400.0,414,1,32.05,0
12401.0,303,1,48.4,0
12402.0,323,6,231.35,0
12403.0,50,2,63.93000000000001,1
12404.0,682,1,63.24,3
12405.0,149,1,191.39000000000001,1
12406.0,22,5,419.96,1
12407.0,50,5,251.59,1
12408.0,33,8,490.83,1
12409.0,79,7,854.36,1
12410.0,309,3,240.59,0
12411.0,410,1,74.7,0
12412.0,75,6,326.11,1
12413.0,67,4,301.04,1
12414.0,217,6,457.8,0
12415.0,24,28,2749.1,1
12416.0,657,1,16.88,3
12417.0,3,20,2015.56,1
12418.0,113,4,341.23,1
12419.0,386,2,126.09,0
12420.0,64,1,136.51,1
12421.0,16,6,310.12,1
12422.0,96,17,1750.57,1
12423.0,1,10,490.09,1
12424.0,163,4,201.4,1
12425.0,78,2,218.79,1
12426.0,195,2,273.91,0
12427.0,22,3,191.51,1
12428.0,26,9,1360.46,1
12429.0,9,8,576.9,1
12430.0,43,1,68.48,1
12431.0,36,27,1547.27,1
12432.0,43,5,1139.49,1
12433.0,1,10,1497.21,1
12434.0,85,3,251.75,1
12435.0,80,6,417.66,1
12436.0,100,1,84.28,1
12437.0,2,39,1898.3799999999999,1
12438.0,14,2,381.7,1
12439.0,683,2,265.71,3
12440.0,462,2,174.34,3
12441.0,367,1,81.42,0
12442.0,3,1,40.08,1
12443.0,732,1,123.28,3
12444.0,21,5,1119.1299999999999,1
12445.0,22,2,87.29,1
12446.0,58,1,248.1,1
12447.0,243,1,92.93,0
12448.0,44,1,130.94,1
12449.0,22,6,732.62,1
12450.0,156,5,82.43,1
12451.0,11,8,1224.2,1
12452.0,17,2,98.67,1
12453.0,134,1,102.91,1
12454.0,56,5,398.79,1
12455.0,73,10,888.71,1
12456.0,44,3,453.07,1
12457.0,66,8,472.02,1
12458.0,71,4,333.05,1
12459.0,605,1,95.42,3
12460.0,456,1,78.86,3
12461.0,94,2,149.06,1
12462.0,19,2,290.75,1
12463.0,53,4,252.61,1
12464.0,10,8,343.15,1
12465.0,17,2,129.72,1
12466.0,682,1,56.73,3
12467.0,423,1,14.56,0
12468.0,188,5,416.31,0
12469.0,523,2,227.97,3
12470.0,690,1,90.35,3
12471.0,2,79,4327.89,1
12472.0,32,19,2181.99,1
12473.0,29,5,1398.42,1
12474.0,17,31,2094.65,1
12475.0,54,2,188.72,1
12476.0,16,23,2296.11,1
12477.0,23,9,2359.18,1
12478.0,4,1,163.36,1
12479.0,11,1,82.72999999999999,1
12480.0,28,7,784.84,1
12481.0,23,15,1547.25,1
12482.0,576,29,2025.76,3
12483.0,17,19,858.8100000000001,1
12484.0,33,12,1457.54,1
12485.0,529,1,81.96,3
12486.0,432,1,201.07999999999998,0
12487.0,731,1,4.0,3
